Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.58907190131552E-08,2.65764913097433E-08,0.041501286881111,0,0,0,2.88408104892143,0.00850390921653607,-1.35978505114286E-10,-3.11887110384155E-09,0.0114346915701379,-3.34239705459834E-09,0.0166269839660727,0,0,0,0,0,0,package://ground_shark_mid360/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ground_shark_mid360/meshes/base_link.STL,,底盘-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,-0.000199554712715849,-6.38245507999721E-06,-0.0174673987069298,0,0,0,0.141887202110515,4.17976340860606E-05,-5.6242468293159E-09,3.05339161654429E-07,4.5077236165051E-05,-4.50333967050321E-10,6.87996344440103E-05,0,0,0,0,0,0,package://ground_shark_mid360/meshes/lidar_link.STL,1,1,1,1,0,0,0,0,0,0,package://ground_shark_mid360/meshes/lidar_link.STL,,mid-360-asm-1/mid-360-asm.stp-1/MID-360_4_1.stp-1;mid-360-asm-1/mid-360-asm.stp-1/MID-360_4_ASM.stp-1;mid-360-asm-1/mid-360-asm.stp-1/MID-360_4_2.stp-1;mid-360-asm-1/mid-360-asm.stp-1/MID-360_4_3.stp-1,lidar_link,Axis_lidar_joint,lidar_joint,fixed,0,0,0.1224991,0,0,0,base_link,0,0,0,,,,,,,,,,,,
motorbracket_fl_link,-8.32667268468867E-17,0.0101809797663877,-0.00879428398855082,0,0,0,0.00608322105376719,2.12921906667825E-06,4.34590982308202E-21,-3.68947801335886E-21,1.91083611877142E-06,6.15365329682498E-07,1.8374939001096E-06,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motorbracket_fl_link.STL,1,1,1,1,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motorbracket_fl_link.STL,,电机支架-2,motorbracket_fl,,motorbracket_fl_joint,fixed,0.085,0.037991,-0.002,0,0,0,base_link,0,0,0,,,,,,,,,,,,
motor_fl_link,-9.5265E-08,0.00049405,-3.2037E-07,0,0,0,0.042092,1.3775E-05,-1.1406E-10,2.7188E-10,4.9901E-06,-3.8435E-10,1.3775E-05,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motor_fl_link.STL,1,1,1,1,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motor_fl_link.STL,,电机-2,motor_fl,基准轴_FL,motor_fl_joint,fixed,0,-0.0079908,-0.0245,0,0,0,motorbracket_fl_link,0,1,0,,,,,,,,,,,,
wheel_fl_link,7.97822019962813E-07,-0.0149928345886679,3.37951445161799E-08,0,0,0,0.132597246667058,5.65512745031579E-05,-1.64157204178127E-09,-2.49441876222743E-09,9.31961918555651E-05,-7.05944311659276E-11,5.65547558595817E-05,0,0,0,0,0,0,package://ground_shark_mid360/meshes/wheel_fl_link.STL,1,1,1,1,0,0,0,0,0,0,package://ground_shark_mid360/meshes/wheel_fl_link.STL,,麦克纳姆轮-2,wheel_fl,基准轴_FL,wheel_fl_joint,continuous,0,0.0775,0,0,0,0,motor_fl_link,0,1,0,,,,,,,,,,,,
motorbracket_fr_link,1.38777878078145E-17,-0.0101809797663875,-0.00879428398855099,0,0,0,0.00608322105376719,2.12921906667825E-06,-1.10502270722204E-21,1.62613072741423E-21,1.91083611877144E-06,-6.15365329682496E-07,1.83749390010959E-06,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motorbracket_fr_link.STL,1,1,1,1,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motorbracket_fr_link.STL,,电机支架-4,motorbracket_fr,Axis_motorbracket_fr_joint,motorbracket_fr_joint,fixed,0.0850000000000002,-0.0379907704315111,-0.00200000000000059,0,0,0,base_link,0,0,0,,,,,,,,,,,,
motor_fr_link,-2.59720585274459E-07,-0.000494051151757506,-2.10380500881291E-07,0,0,0,0.042092392420595,1.37744183750105E-05,3.11673267195815E-10,-3.14165930816589E-11,4.99008312109064E-06,2.52185897613015E-10,1.3775251827675E-05,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motor_fr_link.STL,1,1,1,1,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motor_fr_link.STL,,电机-3,motor_fr,基准轴_FR,motor_fr_joint,fixed,0,0.0079908,-0.0245,0,0,0,motorbracket_fr_link,0,-1,0,,,,,,,,,,,,
wheel_fr_link,1.31517531073988E-07,0.014992834588668,7.87632672305527E-07,0,0,0,0.132597246667058,5.65540953281575E-05,2.71656748702298E-10,-2.84347824250465E-09,9.31961918555652E-05,1.62047676730197E-09,5.65519350345821E-05,0,0,0,0,0,0,package://ground_shark_mid360/meshes/wheel_fr_link.STL,1,1,1,1,0,0,0,0,0,0,package://ground_shark_mid360/meshes/wheel_fr_link.STL,,麦克纳姆轮-4,wheel_fr,基准轴_FR,wheel_fr_joint,continuous,0,-0.0775,0,0,0,0,motor_fr_link,0,-1,0,,,,,,,,,,,,
motorbracket_bl_link,-5.55111512312578E-17,0.0101809797663877,-0.00879428398855093,0,0,0,0.00608322105376719,2.12921906667825E-06,3.03573452606615E-21,-3.29832464622636E-21,1.91083611877142E-06,6.153653296825E-07,1.8374939001096E-06,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motorbracket_bl_link.STL,1,1,1,1,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motorbracket_bl_link.STL,,电机支架-1,motorbracket_bl,Axis_motorbracket_bl_joint,motorbracket_bl_joint,fixed,-0.0850000000000002,0.0379907704315112,-0.00199999999999938,0,0,0,base_link,0,0,0,,,,,,,,,,,,
motor_bl_link,-9.52647042362642E-08,0.000494051151757761,-3.20373802972784E-07,0,0,0,0.0420923924205944,1.37751524776011E-05,-1.14064183836825E-10,2.71882601070877E-10,4.99008312109062E-06,-3.84353111614289E-10,1.37745177250838E-05,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motor_bl_link.STL,1,1,1,1,0,0,0,0,0,0,package://ground_shark_mid360/meshes/motor_bl_link.STL,,电机-4,motor_bl,基准轴_BL,motor_bl_joint,fixed,0,-0.0079908,-0.0245,0,0,0,motorbracket_bl_link,0,1,0,,,,,,,,,,,,
